time_uk,datetime_utc,company,ticker,category_code,category,headline,rns_number,news_id,last_price,pct_change,brief,summary,retail_take,sentiment,source_url
2026-08-18 12:10:01,2026-08-18T11:10:01.000,BHP Group Limited,BHP,STR,Strategy/company update,2026 US Annual Report (Form 20-F),1700R,17744691,3257,0.432,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/bhp-group-limited-npv-di---bhp/2026-us-annual-report-form-20-f-/9727857
2026-08-18 12:09:31,2026-08-18T11:09:31.000,Paragon Banking Group PLC,PAG,POS,Change of position,Transaction in Own Shares,1698R,17744690,836,0.481,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/paragon-banking-group--pag/transaction-in-own-shares/9727856
2026-08-18 12:06:03,2026-08-18T11:06:03.000,TBC Bank Group PLC,TBCG,DSH,Director/PDMR shareholding,Director/PDMR Shareholding,1697R,17744686,4806,-1.918,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/tbc-bank-group--tbcg/director-pdmr-shareholding/9727851
2026-08-18 12:02:29,2026-08-18T11:02:29.000,Gana Media Group PLC ,GANA,MSC,Miscellaneous,"Replacement:  Issue of Equity, Total Voting Rights",1692R,17744683,0.1,4.167,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/gana-media-group-plc--gana/replacement-issue-of-equity-total-voting-rights/9727848
2026-08-18 12:00:00,2026-08-18T11:00:00.000,Vast Resources PLC,VAST,ROM,Result of meeting,Results of General Meeting,1690R,17744678,0.12,,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/vast-resources--vast/results-of-general-meeting/9727840
2026-08-18 11:57:35,2026-08-18T10:57:35.000,Synairgen Limited,,NRA,,Publication of 2025 Annual Report and Accounts,1626R,17744670,,,,,,,
2026-08-18 11:50:00,2026-08-18T10:50:00.000,BAE SYSTEMS PLC,BA.,DSH,Director/PDMR shareholding,Director/PDMR Shareholding,1642R,17744641,2225,-0.492,,,,,
2026-08-18 11:40:00,2026-08-18T10:40:00.000,British American Tobacco PLC,BATS,DSH,Director/PDMR shareholding,Director/PDMR Shareholding,1515R,17744618,4154,0.314,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/british-american-tobacco--bats/director-pdmr-shareholding/9727779
2026-08-18 11:39:36,2026-08-18T10:39:36.000,Dunedin Income Growth Inv Tst PLC,DIG,MSC,Miscellaneous,Compliance with Market Abuse Regulation,1638R,17744617,313,-0.635,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/dunedin-income-growth-inv-trust--dig/compliance-with-market-abuse-regulation/9727778
2026-08-18 11:38:52,2026-08-18T10:38:52.000,GlobalData PLC,DATA,HOL,Holding(s) in company,Holding(s) in Company,1637R,17744616,84.6,0.714,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/globaldata--data/holding-s-in-company/9727775
