time_uk,datetime_utc,company,ticker,category_code,category,headline,rns_number,news_id,last_price,pct_change,brief,summary,retail_take,sentiment,source_url
2026-09-21 12:00:01,2026-09-21T11:00:01.000,Investec PLC,INVP,MSC,Miscellaneous,INL and PLC Share Incentives Plan 2021,5892V,17796944,656,1.784,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/investec--invp/inl-and-plc-share-incentives-plan-2021/9782434
2026-09-21 12:00:01,2026-09-21T11:00:01.000,Ninety One PLC,N91,POS,Change of position,Transaction in Own Shares,4618V,17796941,215,2.576,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/ninety-one--n91/transaction-in-own-shares/9782429
2026-09-21 12:00:01,2026-09-21T11:00:01.000,Taylor Maritime Limited,TMIP,DSH,Director/PDMR shareholding,Director/PDMR Shareholding,4433V,17796945,55.6,-2.456,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/taylor-maritime-investments-limited-npv--tmip/director-pdmr-shareholding/9782433
2026-09-21 11:55:36,2026-09-21T10:55:36.000,Hiscox Ltd,HSX,HOL,Holding(s) in company,TR-1:Standard form-notification of major holdings ,5712V,17796916,1946,1.143,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/hiscox-limited-di---hsx/tr-1-standard-form-notification-of-major-holdings-/9782408
2026-09-21 11:52:00,2026-09-21T10:52:00.000,Rightmove Plc,RMV,POS,Change of position,Transaction in Own Shares,60921-3269,17796909,498.2,1.902,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/prn/rightmove--rmv/transaction-in-own-shares/9782400
2026-09-21 11:33:49,2026-09-21T10:33:49.000,Fonix PLC,FNX,NRA,,Investor Presentation via Investor Meet Company,6088V,17796830,172.5,-1.989,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/fonix-plc--fnx/investor-presentation-via-investor-meet-company/9782320
2026-09-21 11:30:00,2026-09-21T10:30:00.000,Forgent PLC,FORG,UPD,,Additional Phase 2 Drilling at Curley’s Completed,6068V,17796775,0.0085,6.25,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/forgent-plc--forg/additional-phase-2-drilling-at-curley-s-completed/9782263
2026-09-21 11:25:53,2026-09-21T10:25:53.000,BAE SYSTEMS PLC,BA.,POS,Change of position,Transaction in Own Shares,6053V,17796754,2029,0.198,,,,,
2026-09-21 11:24:19,2026-09-21T10:24:19.000,Braime Group PLC,BMTO,IR,Interim results,Interim Results,6042V,17796749,2400.0,0.0,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/braime-group--bmto/interim-results/9782235
2026-09-21 11:18:28,2026-09-21T10:18:28.000,Air Astana JSC,AIRA,POS,Change of position,Transaction in Own Shares,6035V,17796735,6.08,2.703,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/air-astana--aira/transaction-in-own-shares/9782221
2026-09-21 11:17:48,2026-09-21T10:17:48.000,Borders & Southern Petroleum plc,BOR,MSC,Miscellaneous,Exercise of Warrants,6038V,17796732,10.15,-5.14,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/borders-southern-petroleum--bor/exercise-of-warrants/9782214
2026-09-21 11:17:21,2026-09-21T10:17:21.000,Kazmunaygas Nat.Comp. JSC.,42AI,RTE,,Result of Tender Offer,5953V,17796730,100.25,,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/jsc-nc-kazmunaygas---42ai/result-of-tender-offer/9782213
2026-09-21 11:15:12,2026-09-21T10:15:12.000,Man Group plc,EMG,POS,Change of position,Transaction in Own Shares,5952V,17796721,340.4,0.949,,[summary failed: HTTP Error 400: Bad Request],,neutral,https://www.investegate.co.uk/announcement/rns/man-group--emg/transaction-in-own-shares/9782207
